Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/mousemine_Allele	799658	799658	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_BioEntity	799658	1912
http://mo-ld.org/resource/mousemine_SequenceCollection	780510	780510	mine_voc:\nhasAlleleType	mine_type:\nAlleleType	780510	12
http://mo-ld.org/resource/mousemine_Allele	780510	780510	mine_voc:\nhasAlleleType	http://mo-ld.org/mine_type:AlleleType	780510	12
http://mo-ld.org/resource/mousemine_BioEntity	780510	780510	mine_voc:\nhasAlleleType	http://mo-ld.org/mine_type:AlleleType	780510	12
http://mo-ld.org/resource/mousemine_SequenceCollection	750209	729749	mine_voc:\nhasAlleleMolecularMutation	mold_res:\nmousemine_AlleleMolecularMutation	750209	18
http://mo-ld.org/resource/mousemine_Allele	750209	729749	mine_voc:\nhasAlleleMolecularMutation	http://mo-ld.org/resource/mousemine_AlleleMolecularMutation	750209	18
http://mo-ld.org/resource/mousemine_BioEntity	750209	729749	mine_voc:\nhasAlleleMolecularMutation	http://mo-ld.org/resource/mousemine_AlleleMolecularMutation	750209	18
http://mo-ld.org/resource/mousemine_OntologyAnnotation	739454	739454	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_MPTerm	739454	8810
http://mo-ld.org/resource/mousemine_MPTerm	739454	8810	mine_voc:\nhasOntologyAnnotation	http://mo-ld.org/resource/mousemine_OntologyAnnotation	739454	739454
mold_res:\nmousemine_SequenceFeature	722924	384316	mine_voc:\nhasLocation	mold_res:\nmousemine_Location	722924	361493
http://mo-ld.org/resource/mousemine_Location	722924	361493	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceFeature	722924	384316
http://mo-ld.org/resource/mousemine_SequenceCollection	721666	721666	mine_voc:\nhasMolecularNote	mine_type:\nMolecularNote	721666	56916
http://mo-ld.org/resource/mousemine_Allele	721666	721666	mine_voc:\nhasMolecularNote	http://mo-ld.org/mine_type:MolecularNote	721666	56916
http://mo-ld.org/resource/mousemine_BioEntity	721666	721666	mine_voc:\nhasMolecularNote	http://mo-ld.org/mine_type:MolecularNote	721666	56916
