Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/humanmine_Transcript	1476599	136623	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_SequenceFeature	1476599	1476599
http://mo-ld.org/resource/humanmine_Transcript	1476599	136623	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Exon	1476599	1476599
mold_res:\nhumanmine_OntologyRelation	1333028	1333028	mine_voc:\nhasDirect	mine_type:\nDirect	1333028	2
http://mo-ld.org/resource/humanmine_OntologyRelation	1333028	1333028	mine_voc:\nhasRedundant	mine_type:\nRedundant	1333028	2
http://mo-ld.org/resource/humanmine_OntologyRelation	1333028	1333028	mine_voc:\nhasRelationship	mine_type:\nRelationship	1333028	19
http://mo-ld.org/resource/humanmine_BioEntity	1304245	1303316	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_BioEntity	1304245	81647
http://mo-ld.org/resource/humanmine_BioEntity	1304245	1303316	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Region	1304245	81647
http://mo-ld.org/resource/humanmine_BioEntity	1304245	1303316	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_Gene	1304245	81647
http://mo-ld.org/resource/humanmine_BioEntity	1304245	1303316	mine_voc:\nhasGene	http://mo-ld.org/resource/humanmine_SequenceFeature	1304245	81647
http://mo-ld.org/resource/humanmine_BioEntity	1248208	1248208	mine_voc:\nhasTranscript	mold_res:\nhumanmine_MRNA	1248208	94334
http://mo-ld.org/resource/humanmine_Region	1248208	1248208	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_MRNA	1248208	94334
http://mo-ld.org/resource/humanmine_SequenceFeature	1248208	1248208	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_MRNA	1248208	94334
http://mo-ld.org/resource/humanmine_Exon	1248208	1248208	mine_voc:\nhasTranscript	http://mo-ld.org/resource/humanmine_MRNA	1248208	94334
